Name,Type,Drive,MSRP,Dealer,Engine,Cyl,HP,CMPG,HMPG,Weight,WheelBase,Length,Width
Chevrolet Aveo 4dr,Car,FWD,11690,10965,1.6,4,103,28,34,2.37,98,167,66
Chevrolet Aveo LS 4dr hatch,Car,FWD,12585,11802,1.6,4,103,28,34,2.348,98,153,66
Chevrolet Cavalier 2dr,Car,FWD,14610,13697,2.2,4,140,26,37,2.617,104,183,69
Chevrolet Cavalier 4dr,Car,FWD,14810,13884,2.2,4,140,26,37,2.676,104,183,68
Chevrolet Cavalier LS 2dr,Car,FWD,16385,15357,2.2,4,140,26,37,2.617,104,183,69
Dodge Neon SE 4dr,Car,FWD,13670,12849,2,4,132,29,36,2.581,105,174,67
Dodge Neon SXT 4dr,Car,FWD,15040,14086,2,4,132,29,36,2.626,105,174,67
Ford Focus ZX3 2dr hatch,Car,FWD,13270,12482,2,4,130,26,33,2.612,103,168,67
Ford Focus LX 4dr,Car,FWD,13730,12906,2,4,110,27,36,2.606,103,168,67
Ford Focus SE 4dr,Car,FWD,15460,14496,2,4,130,26,33,2.606,103,168,67
Ford Focus ZX5 5dr,Car,FWD,15580,14607,2,4,130,26,33,2.691,103,168,67
Honda Civic DX 2dr,Car,FWD,13270,12175,1.7,4,115,32,38,2.432,103,175,67
Honda Civic HX 2dr,Car,FWD,14170,12996,1.7,4,117,36,44,2.5,103,175,67
Honda Civic LX 4dr,Car,FWD,15850,14531,1.7,4,115,32,38,2.513,103,175,68
Hyundai Accent 2dr hatch,Car,FWD,10539,10107,1.6,4,103,29,33,2.255,96,167,66
Hyundai Accent GL 4dr,Car,FWD,11839,11116,1.6,4,103,29,33,2.29,96,167,66
Hyundai Accent GT 2dr hatch,Car,FWD,11939,11209,1.6,4,103,29,33,2.339,96,167,66
Hyundai Elantra GLS 4dr,Car,FWD,13839,12781,2,4,138,26,34,2.635,103,178,68
Hyundai Elantra GT 4dr,Car,FWD,15389,14207,2,4,138,26,34,2.635,103,178,68
Hyundai Elantra GT 4dr hatch,Car,FWD,15389,14207,2,4,138,26,34,2.698,103,178,68
Kia Optima LX 4dr,Car,FWD,16040,14910,2.4,4,138,23,30,3.281,106,186,72
Kia Rio 4dr manual,Car,FWD,10280,9875,1.6,4,104,26,33,2.403,95,167,66
Kia Rio 4dr auto,Car,FWD,11155,10705,1.6,4,104,25,32,2.458,95,167,66
Kia Spectra 4dr,Car,FWD,12360,11630,1.8,4,124,24,32,2.661,101,178,68
Kia Spectra GS 4dr hatch,Car,FWD,13580,12830,1.8,4,124,24,32,2.686,101,178,68
Kia Spectra GSX 4dr hatch,Car,FWD,14630,13790,1.8,4,124,24,32,2.697,101,178,68
Mazda3 i 4dr,Car,FWD,15500,14525,2,4,148,,,2.696,,,
Mini Cooper,Car,FWD,16999,15437,1.6,4,115,28,37,2.524,97,143,67
Mitsubishi Lancer ES 4dr,Car,FWD,14622,13751,2,4,120,,,2.656,102,181,67
Mitsubishi Lancer LS 4dr,Car,FWD,16722,15718,2,4,120,,,2.795,102,181,67
Nissan Sentra 1.8 4dr,Car,FWD,12740,12205,1.8,4,126,28,35,2.513,100,178,67
Nissan Sentra 1.8 S 4dr,Car,FWD,14740,13747,1.8,4,126,28,35,2.581,100,178,67
Pontiac Sunfire 1SA 2dr,Car,FWD,15495,14375,2.2,4,140,24,33,2.771,104,182,68
Saturn Ion1 4dr,Car,FWD,10995,10319,2.2,4,140,26,35,2.692,103,185,67
Saturn lon2 4dr,Car,FWD,14300,13393,2.2,4,140,26,35,2.692,103,185,67
Saturn lon3 4dr,Car,FWD,15825,14811,2.2,4,140,26,35,2.692,103,185,67
Saturn lon2 quad coupe 2dr,Car,FWD,14850,13904,2.2,4,140,26,35,2.751,103,185,68
Saturn lon3 quad coupe 2dr,Car,FWD,16350,15299,2.2,4,140,26,35,2.751,103,185,68
Scion xA 4dr hatch,Car,FWD,12965,12340,1.5,4,108,32,38,2.34,93,154,67
Suzuki Aeno S 4dr,Car,FWD,12884,12719,2.3,4,155,25,31,2.676,98,171,68
Suzuki Aerio LX 4dr,Car,FWD,14500,14317,2.3,4,155,25,31,2.676,98,171,68
Suzuki Forenza S 4dr,Car,FWD,12269,12116,2,4,119,24,31,2.701,102,177,68
Suzuki Forenza EX 4dr,Car,FWD,15568,15378,2,4,119,22,30,2.756,102,177,68
Toyota Corolla CE 4dr,Car,FWD,14085,13065,1.8,4,130,32,40,2.502,102,178,67
Toyota Corolla S 4dr,Car,FWD,15030,13650,1.8,4,130,32,40,2.524,102,178,67
Toyota Corolla LE 4dr,Car,FWD,15295,13889,1.8,4,130,32,40,2.524,102,178,67
Toyota Echo 2dr manual,Car,FWD,10760,10144,1.5,4,108,35,43,2.035,93,163,65
Toyota Echo 2dr auto,Car,FWD,11560,10896,1.5,4,108,33,39,2.085,93,163,65
Toyota Echo 4dr,Car,FWD,11290,10642,1.5,4,108,35,43,2.055,93,163,65
Buick Century Custom 4dr,Car,FWD,22180,20351,3.1,6,175,20,30,3.353,109,195,73
Chevrolet Impala 4dr,Car,FWD,21900,20095,3.4,6,180,21,32,3.465,111,200,73
Chevrolet Malibu 4dr,Car,FWD,18995,17434,2.2,4,145,24,34,3.174,106,188,70
Chevrolet Malibu LS 4dr,Car,FWD,20370,18639,3.5,6,200,22,30,3.297,106,188,70
Chevrolet Monte Carlo LS 2dr,Car,FWD,21825,20026,3.4,6,180,21,32,3.34,111,198,73
Chrysler PT Cruiser 4dr,Car,FWD,17985,16919,2.4,4,150,22,29,3.101,103,169,67
Chrysler PT Cruiser Limited 4dr,Car,FWD,22000,20573,2.4,4,150,22,29,3.105,103,169,67
Chrysler Sebring 4dr,Car,FWD,19090,17805,2.4,4,150,22,30,3.173,108,191,71
Chrysler Sebring Touring 4dr,Car,FWD,21840,20284,2.7,6,200,21,28,3.222,108,191,71
Dodge Intrepid SE 4dr,Car,FWD,22035,20502,2.7,6,200,21,29,3.469,113,204,75
Dodge Stratus SXT 4dr,Car,FWD,18820,17512,2.4,4,150,21,28,3.182,108,191,71
Dodge Stratus SE 4dr,Car,FWD,20220,18821,2.4,4,150,21,28,3.175,108,191,71
Ford Focus SVT 2dr,Car,FWD,19135,17878,2,4,170,21,28,2.75,103,168,67
Ford Taurus LX 4dr,Car,FWD,20320,18881,3,6,155,20,27,3.306,109,198,73
Ford Taurus SES Duratec 4dr,Car,FWD,22735,20857,3,6,201,19,26,3.313,109,198,73
Honda Accord LX 2dr,Car,FWD,19860,17924,2.4,4,160,26,34,2.994,105,188,71
Honda Accord EX 2dr,Car,FWD,22260,20080,2.4,4,160,26,34,3.047,105,188,71
Honda Civic EX 4dr,Car,FWD,17750,16265,1.7,4,127,32,37,2.601,103,175,68
Honda Civic Si 2dr hatch,Car,FWD,19490,17849,2,4,160,26,30,2.782,101,166,67
Honda Civic Hybrid 4dr manual (gas/electric),Car,FWD,20140,18451,1.4,4,93,46,51,2.732,103,175,68
Honda Insight 2dr (gas/electric),Car,FWD,19110,17911,2,3,73,60,66,1.85,95,155,67
Hyundai Sonata GLS 4dr,Car,FWD,19339,17574,2.7,6,170,19,27,3.217,106,187,72
Hyundai Sonata LX 4dr,Car,FWD,20339,18380,2.7,6,170,19,27,3.217,106,187,72
Kia Optima LX V6 4dr,Car,FWD,18435,16850,2.7,6,170,20,27,3.279,106,186,72
Mazda3 s 4dr,Car,FWD,17200,15922,2.3,4,160,,,2.762,,,
Mazda6 i 4dr,Car,FWD,19270,17817,2.3,4,160,24,32,3.042,105,187,70
Mercury Sable GS 4dr,Car,FWD,21595,19848,3,6,155,20,27,3.308,109,200,73
Mini Cooper S,Car,FWD,19999,18137,1.6,4,163,25,34,2.678,97,144,67
Mitsubishi Galant ES 2.4L 4dr,Car,FWD,19312,17957,2.4,4,160,,,3.351,108,191,72
Mitsubishi Lancer OZ Rally 4dr auto,Car,FWD,17232,16196,2,4,120,,,2.744,102,181,67
Nissan Altima S 4dr,Car,FWD,19240,18030,2.5,4,175,21,26,3.039,110,192,70
Nissan Sentra SE-R 4dr,Car,FWD,17640,16444,2.5,4,165,23,28,2.761,100,178,67
Oldsmobile Alero GX 2dr,Car,FWD,18825,17642,2.2,4,140,24,32,2.946,107,187,70
Pontiac Grand Am GT 2dr,Car,FWD,22450,20595,3.4,6,175,20,29,3.118,107,186,70
Pontiac Grand Prix GT1 4dr,Car,FWD,22395,20545,3.8,6,200,20,30,3.477,111,198,74
Pontiac Sunfire 1SC 2dr,Car,FWD,17735,16369,2.2,4,140,24,33,2.771,104,182,68
Saturn L300-2 4dr,Car,FWD,21410,19801,3,6,182,20,28,3.197,107,190,69
Subaru Impreza 2.5 RS 4dr,Car,AWD,19945,18399,2.5,4,165,22,28,2.965,99,174,69
Subaru Legacy L 4dr,Car,AWD,20445,18713,2.5,4,165,21,28,3.285,104,184,69
Suzuki Verona LX 4dr,Car,FWD,17262,17053,2.5,6,155,20,27,3.38,106,188,72
Toyota Camry LE 4dr,Car,FWD,19560,17558,2.4,4,157,24,33,3.086,107,189,71
Toyota Camry LE V6 4dr,Car,FWD,22775,20325,3,6,210,21,29,3.296,107,189,71
Toyota Camry Solara SE 2dr,Car,FWD,19635,17722,2.4,4,157,24,33,3.175,107,193,72
Toyota Camry Solara SE V6 2dr,Car,FWD,21965,19819,3.3,6,225,20,29,3.417,107,193,72
Toyota Prius 4dr (gas/electric),Car,FWD,20510,18926,1.5,4,110,59,51,2.89,106,175,68
Volkswagen Golf GLS 4dr,Car,FWD,18715,17478,2,4,115,24,31,2.897,99,165,68
Volkswagen GTI 1.8T 2dr hatch,Car,FWD,19825,18109,1.8,4,180,24,31,2.934,99,168,68
Volkswagen Jetta GLS TDI 4dr,Car,FWD,21055,19638,1.9,4,100,38,46,3.003,99,172,68
Volkswagen New Beetle GLS 1.8T 2dr,Car,FWD,21055,19638,1.8,4,150,24,31,2.82,99,161,68
Acura RSX Type S 2dr,Car,FWD,23820,21761,2,4,200,24,31,2.778,101,172,68
Acura TSX 4dr,Car,FWD,26990,24647,2.4,4,200,22,29,3.23,105,183,69
Audi A4 1.8T 4dr,Car,FWD,25940,23508,1.8,4,170,22,31,3.252,104,179,70
BMW 325i 4dr,Car,RWD,28495,26155,2.5,6,184,20,29,3.219,107,176,69
Buick LeSabre Custom 4dr,Car,FWD,26470,24282,3.8,6,205,20,29,3.567,112,200,74
Buick Regal LS 4dr,Car,FWD,24895,22835,3.8,6,200,20,30,3.461,109,196,73
Buick Regal GS 4dr,Car,FWD,28345,26047,3.8,6,240,18,28,3.536,109,196,73
Chevrolet Impala LS 4dr,Car,FWD,25000,22931,3.8,6,200,20,30,3.476,111,200,73
Chevrolet Impala SS 4dr,Car,FWD,27995,25672,3.8,6,240,18,28,3.606,111,200,73
Chevrolet Malibu LT 4dr,Car,FWD,23495,21551,3.5,6,200,23,32,3.315,106,188,70
Chevrolet Monte Carlo SS 2dr,Car,FWD,24225,22222,3.8,6,200,18,28,3.434,111,198,73
Chrysler 300M 4dr,Car,FWD,29865,27797,3.5,6,250,18,27,3.581,113,198,74
Chrysler Concorde LX 4dr,Car,FWD,24130,22452,2.7,6,200,21,29,3.479,113,208,74
Chrysler Concorde LXi 4dr,Car,FWD,26860,24909,3.5,6,232,19,27,3.548,113,208,74
Chrvsler PT Cruiser GT 4dr,Car,FWD,25955,24172,2.4,4,220,21,27,3.217,103,169,67
Chrysler Sebring convertible 2dr,Car,FWD,25215,23451,2.4,4,150,22,30,3.357,106,194,64
Dodge Intrepid ES 4dr,Car,FWD,24885,23058,3.5,6,232,18,27,3.487,113,204,75
Ford Crown Victoria 4dr,Car,RWD,24345,22856,4.6,8,224,17,25,4.057,115,212,78
Ford Crown Victoria LX 4dr,Car,RWD,27370,25105,4.6,8,224,17,25,4.057,115,212,78
Honda Accord LX V6 4dr,Car,FWD,23760,21428,3,6,240,21,30,3.349,108,190,72
Honda Accord EX V6 2dr,Car,FWD,26960,24304,3,6,240,21,30,3.294,105,188,71
Hyundai XG350 4dr,Car,FWD,24589,22055,3.5,6,194,17,26,3.651,108,192,72
Hyundai XG350 L 4dr,Car,FWD,26189,23486,3.5,6,194,17,26,3.651,108,192,72
Infiniti G35 4dr,Car,RWD,28495,26157,3.5,6,260,18,26,3.336,112,187,69
Infiniti G35 Sport Coupe 2dr,Car,RWD,29795,27536,3.5,6,280,18,26,3.416,112,182,72
Jaguar X-Type 2.5 4dr,Car,AWD,29995,27355,2.5,6,192,18,26,3.428,107,184,70
Kia Amanti 4dr,Car,FWD,26000,23764,3.5,6,195,17,25,,110,196,73
Mercedes-Benz C230 Sport 2dr,Car,RWD,26060,24249,1.8,4,189,22,30,3.25,107,178,68
Mercedes-Benz C320 Sport 2dr,Car,RWD,28370,26435,3.2,6,215,19,26,3.43,107,178,68
Mercury Grand Marquis GS 4dr,Car,RWD,24695,23217,4.6,8,224,17,25,4.052,115,212,78
Mercury Grand Marquis LS Premium 4dr,Car,RWD,29595,27148,4.6,8,224,17,25,4.052,115,212,78
Mercury Sable LS Premium 4dr,Car,FWD,23895,21918,3,6,201,19,26,3.315,109,200,73
Mitsubishi Diamante LS 4dr,Car,FWD,29282,27250,3.5,6,205,18,25,3.549,107,194,70
Mitsubishi Galant GTS 4dr,Car,FWD,25700,23883,3.8,6,230,18,26,3.649,108,191,72
Nissan Altima SE 4dr,Car,FWD,23290,21580,3.5,6,245,21,26,3.197,110,192,70
Nissan Maxima SE 4dr,Car,FWD,27490,25182,3.5,6,265,20,28,3.473,111,194,72
Nissan Maxima SL 4dr,Car,FWD,29440,26966,3.5,6,265,20,28,3.476,111,194,72
Oldsmobile Alero GLS 2dr,Car,FWD,23675,21485,3.4,6,170,20,29,3.085,107,187,70
Pontiac Grand Prix GT2 4dr,Car,FWD,24295,22284,3.8,6,200,20,30,3.484,111,198,74
Subaru Legacy GT 4dr,Car,AWD,25645,23336,2.5,4,165,21,28,3.395,104,184,69
Subaru Outback Limited Sedan 4dr,Car,AWD,27145,24687,2.5,4,165,20,27,3.495,104,184,69
Subaru Outback H6 4dr,Car,AWD,29345,26660,3,6,212,19,26,3.61,104,184,69
Toyota Avalon XL 4dr,Car,FWD,26560,23693,3,6,210,21,29,3.417,107,192,72
Toyota Camry XLE V6 4dr,Car,FWD,25920,23125,3,6,210,21,29,3.362,107,189,71
Toyota Camry Solara SLE V6 2dr,Car,FWD,26510,23908,3.3,6,225,20,29,3.439,107,193,72
Volkswagen Jetta GLI VR6 4dr,Car,FWD,23785,21686,2.8,6,200,21,30,3.179,99,172,68
Volkswagen New Beetle GLS convertible 2dr,Car,FWD,23215,21689,2,4,115,24,30,3.082,99,161,68
